lulesh2.0_4_20_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine,-0.045
lulesh2.0_3_16_ -fomit-frame-pointer -floop-block -floop-strip-mine,-0.1
lulesh2.0_1_1_ -xHost,-0.11
lulesh2.0_7_0_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,-0.545
lulesh2.0_3_14_ -march=native -funroll-loops -flto,-0.5475
lulesh2.0_5_8_ -march=native -fomit-frame-pointer -floop-interchange -funroll-loops -flto,-0.55
lulesh2.0_4_19_ -march=native -floop-strip-mine -funroll-loops -flto,-0.55
lulesh2.0_5_13_ -march=native -floop-block -floop-strip-mine -funroll-loops -flto,-0.5525
lulesh2.0_6_4_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops -flto,-0.565
lulesh2.0_5_12_ -march=native -floop-block -floop-interchange -funroll-loops -flto,-0.5775
lulesh2.0_6_5_ -march=native -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,-0.5775
lulesh2.0_4_9_ -march=native -fomit-frame-pointer -funroll-loops -flto,-0.5825
lulesh2.0_6_2_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops -flto,-0.5875
lulesh2.0_4_15_ -march=native -floop-block -funroll-loops -flto,-0.595
lulesh2.0_6_3_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops -flto,-0.61
lulesh2.0_5_14_ -march=native -floop-interchange -floop-strip-mine -funroll-loops -flto,-0.61
lulesh2.0_5_5_ -march=native -fomit-frame-pointer -floop-block -funroll-loops -flto,-0.6275
lulesh2.0_4_18_ -march=native -floop-interchange -funroll-loops -flto,-0.65
lulesh2.0_5_9_ -march=native -fomit-frame-pointer -floop-strip-mine -funroll-loops -flto,-0.705
lulesh2.0_2_5_ -march=native -flto,-0.8325
lulesh2.0_5_7_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -flto,-0.8625
lulesh2.0_5_4_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -flto,-0.8775
lulesh2.0_6_1_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -flto,-0.89
lulesh2.0_5_11_ -march=native -floop-block -floop-interchange -floop-strip-mine -flto,-0.9
lulesh2.0_3_11_ -march=native -floop-interchange -flto,-0.905
lulesh2.0_4_14_ -march=native -floop-block -floop-strip-mine -flto,-0.9275
lulesh2.0_3_13_ -march=native -floop-strip-mine -flto,-0.9475
lulesh2.0_4_8_ -march=native -fomit-frame-pointer -floop-strip-mine -flto,-0.95
lulesh2.0_4_17_ -march=native -floop-interchange -floop-strip-mine -flto,-0.96
lulesh2.0_3_4_ -march=native -fomit-frame-pointer -flto,-0.96
lulesh2.0_4_3_ -march=native -fomit-frame-pointer -floop-block -flto,-0.965
lulesh2.0_4_6_ -march=native -fomit-frame-pointer -floop-interchange -flto,-0.97
lulesh2.0_3_8_ -march=native -floop-block -flto,-0.98
lulesh2.0_5_2_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -flto,-0.9975
lulesh2.0_4_12_ -march=native -floop-block -floop-interchange -flto,-1.0125
lulesh2.0_2_0_ -march=native -xHost,-1.895
lulesh2.0_2_20_ -funroll-loops -flto,-1.92
lulesh2.0_4_28_ -fomit-frame-pointer -floop-interchange -funroll-loops -flto,-1.985
