time / s, flags, speedup
40.75,lulesh2.0_6_2_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops -flto,-1.16
40.76,lulesh2.0_4_9_ -march=native -fomit-frame-pointer -funroll-loops -flto,-1.17
40.76,lulesh2.0_5_12_ -march=native -floop-block -floop-interchange -funroll-loops -flto,-1.17
40.76,lulesh2.0_6_3_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops -flto,-1.17
40.76,lulesh2.0_6_5_ -march=native -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,-1.17
40.78,lulesh2.0_5_9_ -march=native -fomit-frame-pointer -floop-strip-mine -funroll-loops -flto,-1.19
40.80,lulesh2.0_5_13_ -march=native -floop-block -floop-strip-mine -funroll-loops -flto,-1.21
40.88,lulesh2.0_4_18_ -march=native -floop-interchange -funroll-loops -flto,-1.29
40.93,lulesh2.0_4_15_ -march=native -floop-block -funroll-loops -flto,-1.34
41.12,lulesh2.0_5_4_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -flto,-1.53
41.19,lulesh2.0_3_11_ -march=native -floop-interchange -flto,-1.6
41.27,lulesh2.0_5_7_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -flto,-1.68
41.42,lulesh2.0_3_13_ -march=native -floop-strip-mine -flto,-1.83
41.43,lulesh2.0_2_5_ -march=native -flto,-1.84
41.44,lulesh2.0_4_8_ -march=native -fomit-frame-pointer -floop-strip-mine -flto,-1.85
41.45,lulesh2.0_4_12_ -march=native -floop-block -floop-interchange -flto,-1.86
41.45,lulesh2.0_5_11_ -march=native -floop-block -floop-interchange -floop-strip-mine -flto,-1.86
41.45,lulesh2.0_6_1_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -flto,-1.86
41.46,lulesh2.0_3_4_ -march=native -fomit-frame-pointer -flto,-1.87
41.49,lulesh2.0_3_8_ -march=native -floop-block -flto,-1.9
41.49,lulesh2.0_4_3_ -march=native -fomit-frame-pointer -floop-block -flto,-1.9
41.49,lulesh2.0_4_14_ -march=native -floop-block -floop-strip-mine -flto,-1.9
41.49,lulesh2.0_4_17_ -march=native -floop-interchange -floop-strip-mine -flto,-1.9
41.53,lulesh2.0_4_6_ -march=native -fomit-frame-pointer -floop-interchange -flto,-1.94
41.56,lulesh2.0_5_2_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -flto,-1.97
43.34,lulesh2.0_5_19_ -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops -flto,-3.75
43.41,lulesh2.0_5_18_ -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops -flto,-3.82
43.48,lulesh2.0_2_20_ -funroll-loops -flto,-3.89
43.51,lulesh2.0_4_33_ -floop-block -floop-strip-mine -funroll-loops -flto,-3.92
43.54,lulesh2.0_3_30_ -floop-block -funroll-loops -flto,-3.95
43.54,lulesh2.0_4_28_ -fomit-frame-pointer -floop-interchange -funroll-loops -flto,-3.95
43.55,lulesh2.0_3_23_ -fomit-frame-pointer -floop-strip-mine -flto,-3.96
43.57,lulesh2.0_3_29_ -floop-block -floop-strip-mine -flto,-3.98
43.57,lulesh2.0_4_32_ -floop-block -floop-interchange -funroll-loops -flto,-3.98
43.61,lulesh2.0_2_17_ -floop-interchange -flto,-4.02
43.62,lulesh2.0_4_27_ -fomit-frame-pointer -floop-interchange -floop-strip-mine -flto,-4.03
43.63,lulesh2.0_3_18_ -fomit-frame-pointer -floop-block -flto,-4.04
43.65,lulesh2.0_5_20_ -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,-4.06
43.66,lulesh2.0_6_6_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,-4.07
