time / s, flags, speedup
40.64,lulesh2.0_4_19_ -march=native -floop-strip-mine -funroll-loops -flto,-0.95
40.65,lulesh2.0_6_3_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops -flto,-0.96
40.67,lulesh2.0_5_14_ -march=native -floop-interchange -floop-strip-mine -funroll-loops -flto,-0.98
40.68,lulesh2.0_6_4_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops -flto,-0.99
40.73,lulesh2.0_4_9_ -march=native -fomit-frame-pointer -funroll-loops -flto,-1.04
40.82,lulesh2.0_5_5_ -march=native -fomit-frame-pointer -floop-block -funroll-loops -flto,-1.13
40.84,lulesh2.0_6_5_ -march=native -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,-1.15
40.89,lulesh2.0_5_9_ -march=native -fomit-frame-pointer -floop-strip-mine -funroll-loops -flto,-1.2
41.01,lulesh2.0_3_14_ -march=native -funroll-loops -flto,-1.32
41.24,lulesh2.0_4_6_ -march=native -fomit-frame-pointer -floop-interchange -flto,-1.55
41.24,lulesh2.0_5_11_ -march=native -floop-block -floop-interchange -floop-strip-mine -flto,-1.55
41.25,lulesh2.0_4_14_ -march=native -floop-block -floop-strip-mine -flto,-1.56
41.25,lulesh2.0_6_1_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -flto,-1.56
41.27,lulesh2.0_5_7_ -march=native -fomit-frame-pointer -floop-interchange -floop-strip-mine -flto,-1.58
41.29,lulesh2.0_4_17_ -march=native -floop-interchange -floop-strip-mine -flto,-1.6
41.34,lulesh2.0_4_12_ -march=native -floop-block -floop-interchange -flto,-1.65
41.35,lulesh2.0_4_8_ -march=native -fomit-frame-pointer -floop-strip-mine -flto,-1.66
41.41,lulesh2.0_4_3_ -march=native -fomit-frame-pointer -floop-block -flto,-1.72
41.44,lulesh2.0_2_5_ -march=native -flto,-1.75
41.46,lulesh2.0_3_11_ -march=native -floop-interchange -flto,-1.77
41.47,lulesh2.0_5_2_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -flto,-1.78
41.47,lulesh2.0_5_4_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -flto,-1.78
41.49,lulesh2.0_3_4_ -march=native -fomit-frame-pointer -flto,-1.8
41.50,lulesh2.0_3_13_ -march=native -floop-strip-mine -flto,-1.81
41.55,lulesh2.0_3_8_ -march=native -floop-block -flto,-1.86
43.24,lulesh2.0_5_20_ -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,-3.55
43.41,lulesh2.0_5_17_ -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops -flto,-3.72
43.46,lulesh2.0_4_29_ -fomit-frame-pointer -floop-strip-mine -funroll-loops -flto,-3.77
43.47,lulesh2.0_3_34_ -floop-strip-mine -funroll-loops -flto,-3.78
43.56,lulesh2.0_3_24_ -fomit-frame-pointer -funroll-loops -flto,-3.87
43.56,lulesh2.0_4_28_ -fomit-frame-pointer -floop-interchange -funroll-loops -flto,-3.87
43.58,lulesh2.0_3_33_ -floop-interchange -funroll-loops -flto,-3.89
43.58,lulesh2.0_4_22_ -fomit-frame-pointer -floop-block -floop-interchange -flto,-3.89
43.58,lulesh2.0_4_33_ -floop-block -floop-strip-mine -funroll-loops -flto,-3.89
43.59,lulesh2.0_3_27_ -floop-block -floop-interchange -flto,-3.9
43.60,lulesh2.0_3_23_ -fomit-frame-pointer -floop-strip-mine -flto,-3.91
43.61,lulesh2.0_2_0_ -march=native -fomit-frame-pointer,-3.92
43.62,lulesh2.0_4_31_ -floop-block -floop-interchange -floop-strip-mine -flto,-3.93
43.63,lulesh2.0_2_19_ -floop-strip-mine -flto,-3.94
43.64,lulesh2.0_2_20_ -funroll-loops -flto,-3.95
43.64,lulesh2.0_3_29_ -floop-block -floop-strip-mine -flto,-3.95
43.65,lulesh2.0_3_32_ -floop-interchange -floop-strip-mine -flto,-3.96
43.68,lulesh2.0_5_19_ -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops -flto,-3.99
43.68,lulesh2.0_6_6_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,-3.99
43.70,lulesh2.0_4_25_ -fomit-frame-pointer -floop-block -funroll-loops -flto,-4.01
43.73,lulesh2.0_5_16_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -flto,-4.04
43.74,lulesh2.0_4_27_ -fomit-frame-pointer -floop-interchange -floop-strip-mine -flto,-4.05
43.75,lulesh2.0_4_32_ -floop-block -floop-interchange -funroll-loops -flto,-4.06
43.75,lulesh2.0_5_18_ -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops -flto,-4.06
43.77,lulesh2.0_4_34_ -floop-interchange -floop-strip-mine -funroll-loops -flto,-4.08
43.81,lulesh2.0_3_21_ -fomit-frame-pointer -floop-interchange -flto,-4.12
43.85,lulesh2.0_2_10_ -fomit-frame-pointer -flto,-4.16
43.85,lulesh2.0_2_14_ -floop-block -flto,-4.16
43.89,lulesh2.0_3_30_ -floop-block -funroll-loops -flto,-4.2
43.90,lulesh2.0_4_24_ -fomit-frame-pointer -floop-block -floop-strip-mine -flto,-4.21
43.96,lulesh2.0_2_17_ -floop-interchange -flto,-4.27
44.18,lulesh2.0_3_18_ -fomit-frame-pointer -floop-block -flto,-4.49
