size comp_time   mpi_time  init_time  output_time  real_time
4096 2.510354 0.143230 0.076650 0.220697 4.854401842
64 0.000006 0.000102 0.022705 0.008564 1.897433749
128 0.000026 0.000187 0.026206 0.011322 1.883928492
256 0.000164 0.000367 0.023483 0.012977 1.964785644
512 0.001147 0.001630 0.033528 0.013676 1.915866413
1024 0.018502 0.024587 0.027849 0.020995 1.996675849
2048 0.298772 0.047273 0.037692 0.057092 2.30003695
4096 2.467497 0.207164 0.083124 0.381030 5.018599439
64 0.000007 0.000088 0.027665 0.009198 1.947438332
128 0.000030 0.000173 0.029880 0.009400 1.91215922
256 0.000162 0.000380 0.025886 0.011839 1.897947296
512 0.001128 0.001614 0.043345 0.013770 1.952498415
1024 0.020495 0.024543 0.025806 0.027041 1.971734139
2048 0.300676 0.048734 0.037047 0.054395 2.380297725
4096 2.526748 0.222529 0.080112 0.166085 4.885081236
64 0.000006 0.000085 0.022004 0.008052 1.91351264
128 0.000026 0.000205 0.031426 0.014839 1.895083355
256 0.000269 0.000203 0.025309 0.011131 1.934043337
512 0.002092 0.000675 0.025208 0.014326 1.920084113
1024 0.020340 0.026620 0.027613 0.020991 1.959916355
2048 0.301500 0.041555 0.037914 0.051117 2.309237478
4096 2.478002 0.249546 0.087353 0.217364 4.90519638
64 0.000006 0.000083 0.025174 0.008362 1.935073728
128 0.000040 0.000128 0.023839 0.009179 1.934450462
256 0.000193 0.000406 0.033021 0.010454 1.888961521
512 0.001142 0.001618 0.027194 0.014667 1.878918152
1024 0.017730 0.024290 0.036480 0.018390 2.013569328
2048 0.308400 0.044557 0.042319 0.048672 2.319719086
4096 2.510216 0.239916 0.082835 0.199601 4.926437612
64 0.000008 0.000084 0.022257 0.008266 1.94722077
128 0.000027 0.000118 0.020979 0.008723 1.930868434
256 0.000235 0.000193 0.024980 0.010472 1.898178506
512 0.001145 0.001324 0.026976 0.013598 1.913554784
1024 0.020696 0.024049 0.026858 0.023200 2.026023129
2048 0.300635 0.043540 0.044730 0.054927 2.328011651
4096 2.551745 0.162495 0.080059 0.175816 4.864724318
64 0.000006 0.000085 0.021040 0.008541 1.936017238
128 0.000034 0.000230 0.030889 0.008662 1.937344923
256 0.000162 0.000393 0.021456 0.010007 1.902211224
512 0.002447 0.000772 0.028170 0.013542 1.973356508
1024 0.024297 0.017159 0.027530 0.018863 1.998139007
2048 0.300321 0.042007 0.039697 0.054441 2.356364775
4096 2.566307 0.118849 0.079363 0.207663 4.889802832
64 0.000012 0.000061 0.032108 0.009435 1.942934138
128 0.000040 0.000085 0.022781 0.009187 1.925516821
256 0.000166 0.000259 0.029197 0.009956 1.94743088
512 0.001137 0.001817 0.025245 0.012535 1.905927709
1024 0.019617 0.025251 0.031771 0.025680 1.990290064
2048 0.300330 0.046810 0.052312 0.049701 2.32699598
4096 2.446644 0.303009 0.082982 0.241324 4.943181823
64 0.000005 0.000086 0.032055 0.009493 1.97340557
128 0.000034 0.000110 0.026790 0.010859 1.902132027
256 0.000264 0.000217 0.022848 0.010191 1.945072707
512 0.001143 0.001267 0.024578 0.014217 1.971608877
1024 0.019659 0.023121 0.033628 0.018929 1.980926215
2048 0.297995 0.053469 0.037185 0.048776 2.397098324
4096 2.512181 0.175023 0.076499 0.200850 4.8637486
64 0.000006 0.000131 0.023398 0.008895 1.90470022
128 0.000026 0.000162 0.021646 0.009503 1.965815671
256 0.000235 0.000349 0.024295 0.011019 1.885875297
512 0.001457 0.001735 0.031304 0.012810 1.891919719
1024 0.019890 0.022433 0.037063 0.018636 1.985330413
2048 0.299998 0.039372 0.037802 0.058828 2.297085644
4096 2.477778 0.159638 0.082857 0.220297 4.798467704
