size comp_time   mpi_time  init_time  output_time  real_time
4096 2.507812 0.178086 0.073090 0.200383 4.521545895
64 0.000007 0.000130 0.034519 0.009502 1.617422804
128 0.000036 0.000132 0.027202 0.010503 1.576735801
256 0.000225 0.000982 0.029980 0.011352 1.548807846
512 0.001535 0.001675 0.027009 0.015830 1.654178084
1024 0.019070 0.016118 0.029822 0.021624 1.65221107
2048 0.299687 0.021814 0.041399 0.054370 1.964600648
4096 2.551687 0.136587 0.072678 0.180492 4.524363016
64 0.000007 0.000088 0.026398 0.009165 1.637361262
128 0.000033 0.000146 0.026110 0.010911 1.537593483
256 0.000217 0.001058 0.027485 0.010870 1.599854073
512 0.001541 0.001765 0.025851 0.013700 1.542804627
1024 0.017767 0.015499 0.032001 0.019881 1.628215531
2048 0.300752 0.022910 0.040238 0.055544 1.923352546
4096 2.504470 0.176449 0.124466 0.468696 4.840874285
64 0.000007 0.000104 0.034975 0.010692 1.61229736
128 0.000034 0.000147 0.026506 0.012367 1.625191681
256 0.000216 0.001006 0.028306 0.011695 1.625947438
512 0.001536 0.001670 0.030129 0.014889 1.60750938
1024 0.017652 0.014652 0.030736 0.019796 1.661020788
2048 0.299612 0.020375 0.039495 0.050771 1.991300738
4096 2.510943 0.283860 0.072671 0.191153 4.602383389
64 0.000007 0.000109 0.026953 0.009704 1.586998721
128 0.000033 0.000147 0.024887 0.011852 1.572968213
256 0.000217 0.000976 0.026856 0.011500 1.574160965
512 0.001564 0.001693 0.025894 0.014337 1.570526075
1024 0.017732 0.014898 0.028750 0.021122 1.60721926
2048 0.300328 0.019471 0.042546 0.053080 1.992399339
4096 2.501968 0.254870 0.079226 0.199836 4.564467069
64 0.000007 0.000104 0.028652 0.011313 1.586076042
128 0.000033 0.000154 0.031109 0.010983 1.585825177
256 0.000217 0.000989 0.025495 0.011246 1.565731324
512 0.001552 0.001687 0.025362 0.013872 1.557201527
1024 0.017453 0.014975 0.032468 0.021885 1.705094897
2048 0.300177 0.021134 0.037391 0.059811 2.005464218
4096 2.529658 0.168895 0.072813 0.168860 4.506804567
64 0.000007 0.000109 0.032811 0.012808 1.589398119
128 0.000033 0.000148 0.025550 0.009906 1.590027043
256 0.000217 0.000934 0.028396 0.011882 1.578090947
512 0.001576 0.001620 0.026221 0.013706 1.610563133
1024 0.017575 0.014897 0.028610 0.021198 1.651512108
2048 0.300797 0.019745 0.043721 0.050328 1.98554937
4096 2.506162 0.307588 0.072687 0.198104 4.655070966
64 0.000007 0.000093 0.026262 0.009191 1.636189959
128 0.000033 0.000140 0.027137 0.010371 1.603491415
256 0.000216 0.001009 0.025768 0.010843 1.56933056
512 0.001543 0.001734 0.025854 0.014777 1.619175485
1024 0.017996 0.013958 0.029626 0.020672 1.673628631
2048 0.299932 0.022969 0.037455 0.050209 1.995845752
4096 2.500717 0.303834 0.073033 0.200002 4.643601505
64 0.000007 0.000136 0.028374 0.009485 1.587041333
128 0.000034 0.000128 0.026969 0.010991 2.043866447
256 0.000217 0.000998 0.029380 0.012062 1.628259749
512 0.001554 0.001705 0.026708 0.014589 1.621606734
1024 0.017734 0.014871 0.032112 0.019911 1.65186334
2048 0.300150 0.019749 0.039754 0.053783 1.941040402
4096 2.505486 0.173071 0.071112 0.180898 4.474605599
64 0.000007 0.000111 0.029076 0.009446 1.610939726
128 0.000033 0.000140 0.032989 0.012974 1.594358896
256 0.000217 0.000920 0.029170 0.011651 1.555797592
512 0.001553 0.001744 0.028557 0.013858 1.596249013
1024 0.017912 0.014384 0.028084 0.021110 1.644823128
2048 0.300153 0.021198 0.038896 0.051459 1.940948287
4096 2.521566 0.178074 0.070659 0.172202 4.56296597
