lulesh2.0_4_20_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine,0.175
lulesh2.0_4_21_ -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops,0.16
lulesh2.0_3_15_ -fomit-frame-pointer -floop-block -floop-interchange,0.155
lulesh2.0_4_23_ -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops,0.155
lulesh2.0_3_28_ -floop-block -floop-strip-mine -funroll-loops,0.13
lulesh2.0_4_6_ -march=native -fomit-frame-pointer -floop-interchange -flto,0.13
lulesh2.0_5_15_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops,0.125
lulesh2.0_1_4_ -floop-strip-mine,0.115
lulesh2.0_2_6_ -fomit-frame-pointer -floop-block,0.11
lulesh2.0_4_12_ -march=native -floop-block -floop-interchange -flto,0.105
lulesh2.0_1_6_ -flto,0.09
lulesh2.0_3_20_ -fomit-frame-pointer -floop-interchange -funroll-loops,0.07
lulesh2.0_1_3_ -floop-interchange,0.065
lulesh2.0_2_8_ -fomit-frame-pointer -floop-strip-mine,0.065
lulesh2.0_1_5_ -funroll-loops,0.06
lulesh2.0_1_1_ -fomit-frame-pointer,0.06
lulesh2.0_3_31_ -floop-interchange -floop-strip-mine -funroll-loops,0.055
lulesh2.0_4_26_ -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops,0.055
lulesh2.0_2_12_ -floop-block -floop-strip-mine,0.05
lulesh2.0_3_4_ -march=native -fomit-frame-pointer -flto,0.05
lulesh2.0_2_13_ -floop-block -funroll-loops,0.025
lulesh2.0_2_7_ -fomit-frame-pointer -floop-interchange,0.02
lulesh2.0_2_15_ -floop-interchange -floop-strip-mine,0.01
lulesh2.0_2_11_ -floop-block -floop-interchange,0.01
lulesh2.0_0_0_,0.0
lulesh2.0_3_22_ -fomit-frame-pointer -floop-strip-mine -funroll-loops,0.0
lulesh2.0_3_26_ -floop-block -floop-interchange -funroll-loops,-0.01
lulesh2.0_3_17_ -fomit-frame-pointer -floop-block -funroll-loops,-0.025
lulesh2.0_2_18_ -floop-strip-mine -funroll-loops,-0.04
lulesh2.0_2_9_ -fomit-frame-pointer -funroll-loops,-0.045
lulesh2.0_2_16_ -floop-interchange -funroll-loops,-0.12
lulesh2.0_4_27_ -fomit-frame-pointer -floop-interchange -floop-strip-mine -flto,-3.025
lulesh2.0_4_22_ -fomit-frame-pointer -floop-block -floop-interchange -flto,-3.125
lulesh2.0_3_21_ -fomit-frame-pointer -floop-interchange -flto,-3.125
lulesh2.0_5_16_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -flto,-3.145
lulesh2.0_3_27_ -floop-block -floop-interchange -flto,-3.145
lulesh2.0_4_28_ -fomit-frame-pointer -floop-interchange -funroll-loops -flto,-3.18
lulesh2.0_3_29_ -floop-block -floop-strip-mine -flto,-3.25
lulesh2.0_4_24_ -fomit-frame-pointer -floop-block -floop-strip-mine -flto,-3.28
lulesh2.0_2_14_ -floop-block -flto,-3.31
lulesh2.0_3_18_ -fomit-frame-pointer -floop-block -flto,-3.345
lulesh2.0_6_6_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,-3.355
lulesh2.0_3_34_ -floop-strip-mine -funroll-loops -flto,-3.37
lulesh2.0_3_30_ -floop-block -funroll-loops -flto,-3.4
lulesh2.0_3_23_ -fomit-frame-pointer -floop-strip-mine -flto,-3.415
lulesh2.0_2_19_ -floop-strip-mine -flto,-3.425
lulesh2.0_2_17_ -floop-interchange -flto,-3.43
lulesh2.0_5_19_ -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops -flto,-3.47
lulesh2.0_2_10_ -fomit-frame-pointer -flto,-3.475
lulesh2.0_2_0_ -march=native -fomit-frame-pointer,-3.48
lulesh2.0_5_17_ -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops -flto,-3.485
lulesh2.0_5_18_ -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops -flto,-3.485
lulesh2.0_3_32_ -floop-interchange -floop-strip-mine -flto,-3.49
lulesh2.0_4_31_ -floop-block -floop-interchange -floop-strip-mine -flto,-3.49
lulesh2.0_5_20_ -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,-3.495
lulesh2.0_4_29_ -fomit-frame-pointer -floop-strip-mine -funroll-loops -flto,-3.5
lulesh2.0_3_24_ -fomit-frame-pointer -funroll-loops -flto,-3.595
lulesh2.0_4_32_ -floop-block -floop-interchange -funroll-loops -flto,-3.6
lulesh2.0_4_33_ -floop-block -floop-strip-mine -funroll-loops -flto,-3.6
lulesh2.0_3_33_ -floop-interchange -funroll-loops -flto,-3.61
lulesh2.0_4_34_ -floop-interchange -floop-strip-mine -funroll-loops -flto,-3.64
lulesh2.0_4_25_ -fomit-frame-pointer -floop-block -funroll-loops -flto,-3.7
lulesh2.0_2_20_ -funroll-loops -flto,-3.765
