time / s, flags, speedup
33.88,lulesh2.0_2_5_ -march=native -flto,0.04
33.88,lulesh2.0_3_8_ -march=native -floop-block -flto,0.04
33.90,lulesh2.0_5_4_ -march=native -fomit-frame-pointer -floop-block -floop-strip-mine -flto,0.02
33.91,lulesh2.0_1_1_ -fomit-frame-pointer,0.01
33.91,lulesh2.0_3_28_ -floop-block -floop-strip-mine -funroll-loops,0.01
33.91,lulesh2.0_5_2_ -march=native -fomit-frame-pointer -floop-block -floop-interchange -flto,0.01
33.92,lulesh2.0_0_0_,0.0
33.92,lulesh2.0_3_20_ -fomit-frame-pointer -floop-interchange -funroll-loops,0.0
33.92,lulesh2.0_3_26_ -floop-block -floop-interchange -funroll-loops,0.0
33.93,lulesh2.0_3_15_ -fomit-frame-pointer -floop-block -floop-interchange,-0.01
33.93,lulesh2.0_5_15_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops,-0.01
33.95,lulesh2.0_3_16_ -fomit-frame-pointer -floop-block -floop-strip-mine,-0.03
33.97,lulesh2.0_3_25_ -floop-block -floop-interchange -floop-strip-mine,-0.05
33.98,lulesh2.0_1_3_ -floop-interchange,-0.06
33.98,lulesh2.0_4_20_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine,-0.06
34.00,lulesh2.0_2_16_ -floop-interchange -funroll-loops,-0.08
34.01,lulesh2.0_1_4_ -floop-strip-mine,-0.09
34.01,lulesh2.0_4_6_ -march=native -fomit-frame-pointer -floop-interchange -flto,-0.09
34.02,lulesh2.0_3_4_ -march=native -fomit-frame-pointer -flto,-0.1
34.02,lulesh2.0_4_12_ -march=native -floop-block -floop-interchange -flto,-0.1
34.03,lulesh2.0_3_31_ -floop-interchange -floop-strip-mine -funroll-loops,-0.11
34.03,lulesh2.0_4_21_ -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops,-0.11
34.04,lulesh2.0_1_6_ -flto,-0.12
34.06,lulesh2.0_4_26_ -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops,-0.14
34.07,lulesh2.0_2_9_ -fomit-frame-pointer -funroll-loops,-0.15
34.07,lulesh2.0_3_22_ -fomit-frame-pointer -floop-strip-mine -funroll-loops,-0.15
34.24,lulesh2.0_3_17_ -fomit-frame-pointer -floop-block -funroll-loops,-0.32
36.92,lulesh2.0_4_24_ -fomit-frame-pointer -floop-block -floop-strip-mine -flto,-3.0
36.93,lulesh2.0_4_27_ -fomit-frame-pointer -floop-interchange -floop-strip-mine -flto,-3.01
37.12,lulesh2.0_4_28_ -fomit-frame-pointer -floop-interchange -funroll-loops -flto,-3.2
37.16,lulesh2.0_3_21_ -fomit-frame-pointer -floop-interchange -flto,-3.24
37.20,lulesh2.0_2_17_ -floop-interchange -flto,-3.28
37.23,lulesh2.0_5_16_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -flto,-3.31
37.25,lulesh2.0_3_27_ -floop-block -floop-interchange -flto,-3.33
37.28,lulesh2.0_4_22_ -fomit-frame-pointer -floop-block -floop-interchange -flto,-3.36
37.28,lulesh2.0_6_6_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,-3.36
37.29,lulesh2.0_3_29_ -floop-block -floop-strip-mine -flto,-3.37
37.30,lulesh2.0_3_18_ -fomit-frame-pointer -floop-block -flto,-3.38
37.32,lulesh2.0_2_14_ -floop-block -flto,-3.4
37.37,lulesh2.0_3_30_ -floop-block -funroll-loops -flto,-3.45
37.39,lulesh2.0_3_32_ -floop-interchange -floop-strip-mine -flto,-3.47
37.43,lulesh2.0_3_23_ -fomit-frame-pointer -floop-strip-mine -flto,-3.51
37.44,lulesh2.0_2_10_ -fomit-frame-pointer -flto,-3.52
37.46,lulesh2.0_3_34_ -floop-strip-mine -funroll-loops -flto,-3.54
37.48,lulesh2.0_4_29_ -fomit-frame-pointer -floop-strip-mine -funroll-loops -flto,-3.56
37.50,lulesh2.0_2_0_ -march=native -fomit-frame-pointer,-3.58
37.50,lulesh2.0_2_19_ -floop-strip-mine -flto,-3.58
37.50,lulesh2.0_5_17_ -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops -flto,-3.58
37.52,lulesh2.0_4_31_ -floop-block -floop-interchange -floop-strip-mine -flto,-3.6
37.52,lulesh2.0_5_18_ -fomit-frame-pointer -floop-block -floop-strip-mine -funroll-loops -flto,-3.6
37.56,lulesh2.0_5_19_ -fomit-frame-pointer -floop-interchange -floop-strip-mine -funroll-loops -flto,-3.64
37.59,lulesh2.0_4_34_ -floop-interchange -floop-strip-mine -funroll-loops -flto,-3.67
37.61,lulesh2.0_4_33_ -floop-block -floop-strip-mine -funroll-loops -flto,-3.69
37.66,lulesh2.0_5_20_ -floop-block -floop-interchange -floop-strip-mine -funroll-loops -flto,-3.74
37.70,lulesh2.0_4_25_ -fomit-frame-pointer -floop-block -funroll-loops -flto,-3.78
37.74,lulesh2.0_3_33_ -floop-interchange -funroll-loops -flto,-3.82
37.74,lulesh2.0_4_32_ -floop-block -floop-interchange -funroll-loops -flto,-3.82
37.81,lulesh2.0_2_20_ -funroll-loops -flto,-3.89
37.90,lulesh2.0_3_24_ -fomit-frame-pointer -funroll-loops -flto,-3.98
